,City,Lat,Long,Max_Temp,Date,Humidity,Cloudiness,Wind_Speed,Country
310,portland,45.52,-122.68,20.56,1592761802,68,75,1.19,US
311,tabou,4.42,-7.35,25.06,1592761950,86,88,5.75,CI
312,santa barbara,34.42,-119.7,17.22,1592761755,77,90,1.5,US
313,opuwo,-18.06,13.84,15.82,1592761950,33,0,4.69,NA
314,luena,-11.78,19.92,13.3,1592761950,43,0,1.38,AO
315,beira,-19.84,34.84,19.0,1592761950,88,0,2.1,MZ
316,zhuhai,22.28,113.57,30.56,1592761950,89,40,6.7,CN
317,beecher,43.09,-83.69,30.0,1592761950,48,75,4.6,US
318,visnes,59.36,5.22,19.44,1592761951,72,44,6.7,NO
319,athabasca,54.72,-113.29,19.22,1592761951,61,0,2.29,CA
320,lompoc,34.64,-120.46,16.11,1592761900,87,14,1.5,US
321,san pedro,14.35,121.02,28.0,1592761951,83,20,1.0,PH
322,gravdal,68.12,13.5,22.0,1592761951,49,9,2.1,NO
323,mogadishu,2.04,45.34,25.84,1592761722,81,45,9.11,SO
324,husavik,66.04,-17.34,18.0,1592761952,52,40,10.8,IS
325,hasaki,35.73,140.83,20.0,1592761952,94,75,3.6,JP
326,wenatchee,47.42,-120.31,23.33,1592761952,37,1,8.2,US
327,lithakia,37.72,20.83,25.0,1592761743,53,20,8.2,GR
328,cassilandia,-19.11,-51.73,29.41,1592761952,36,0,2.83,BR
329,ariyalur,11.13,79.08,30.0,1592761505,58,40,6.2,IN
330,matara,5.95,80.54,27.33,1592761952,82,99,6.66,LK
331,dzaoudzi,-12.79,45.27,26.0,1592761952,78,90,6.2,YT
332,katsuura,35.13,140.3,21.11,1592761953,89,100,1.79,JP
333,kyra,49.58,111.98,12.46,1592761953,88,100,1.3,RU
334,labuhan,-6.88,112.21,25.43,1592761953,87,95,2.78,ID
335,san juan,-31.54,-68.54,15.43,1592761953,36,61,4.73,AR
336,matay,28.42,30.78,32.06,1592761953,14,0,1.05,EG
337,najran,17.49,44.13,32.0,1592761953,13,100,2.1,SA
338,vila franca do campo,37.72,-25.43,21.0,1592761953,73,20,4.1,PT
339,touros,-5.2,-35.46,29.0,1592761953,66,40,5.7,BR
340,aksay,47.26,39.87,25.56,1592761954,73,20,3.0,RU
341,souillac,-20.52,57.52,22.0,1592761954,78,40,6.7,MU
342,shiyan,32.65,110.78,19.73,1592761954,87,100,0.82,CN
343,jiuquan,39.74,98.52,17.26,1592761954,50,100,2.49,CN
344,kedrovyy,56.17,91.82,12.0,1592761954,81,75,4.0,RU
345,sao felix do xingu,-6.64,-51.99,31.44,1592761954,44,63,3.02,BR
346,burgeo,47.62,-57.62,10.8,1592761954,68,92,4.47,CA
347,fort nelson,58.81,-122.7,17.0,1592761955,77,90,2.6,CA
348,malibu,34.01,-118.81,18.89,1592761955,81,97,0.45,US
349,okha,53.57,142.95,4.13,1592761955,96,100,4.33,RU
